AdID,LocationID,CategoryID,Params,Price,Title,IsContext
4223,,60.0,"{178:'Для девочек', 179:'Трикотаж'}",1304.0,Свитер,1
5094,,60.0,"{178:'Для девочек', 179:'Другое'}",539.0,Купальник цельный,1
7445,,38.0,{45:'Подставки и тумбы'},1398.0,"Полка для обуви ""4-Tier Wood Stackable""",1
8790,,38.0,{45:'Шкафы и комоды'},8900.0,Прихожая Мебелайн-1,1
9522,,26.0,{132:'Телевизоры и проекторы'},42042.0,Телевизор Toshiba 55L7453,1
12008,,60.0,"{178:'Для девочек', 179:'Верхняя одежда'}",3346.0,Комплект верхней одежды,1
15122,,44.0,{223:'Компактные фотоаппараты'},14990.0,Фотоаппарат компактный Olympus SH-1 Black,1
15464,,47.0,{127:'Велосипеды и самокаты'},4125.0,Детский велосипед с доставкой на дом!,1
17091,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",6810.0,Запчасти б/у и новые для kia cerato (09-),1
18902,,60.0,"{178:'Для девочек', 179:'Платья и юбки'}",1099.0,Платье и леггинсы,1
22400,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5800.0,Бампер передний Форд Си Макс,1
25152,,38.0,"{45:'Предметы интерьера, искусство'}",143.0,Ваза для цветов Флора 43767 (Код товара 1209791),1
26846,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4730.0,Запчасти б/у и новые для peugeot 3008 (10-),1
29058,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",250.0,Капот для Ниссан Альмера,1
29762,,11.0,{104:'Часы'},17680.0,Наручные часы Orient EL06001B,1
29948,,38.0,{45:'Шкафы и комоды'},249990.0,Винный шкаф от 140 см Liebherr WTes 5872-20,1
33646,,38.0,"{45:'Кровати, диваны и кресла'}",12990.0,"Диван Легион. Готовый дизайн ""антикоготь"" Доставка",1
41891,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",1998.0,Платье People с доставкой,1
41949,,22.0,{175:'Аксессуары'},889.0,Ремень тонкий из кожи,1
46061,,34.0,{5:'Багажники и фаркопы'},12800.0,"Автобокс на крышу 1500x800x370мм, пр-во Чехия",1
47341,,22.0,{175:'Аксессуары'},1790.0,Сумка LowePro Apex 110 AW (черный),1
53519,,27.0,"{48:'Для кухни', 486:'Мелкая кухонная техника'}",6990.0,Погружной блендер Moulinex Infiny Force DD868A31,1
53935,,22.0,{175:'Аксессуары'},4990.0,LOUIS VUITTON 55,1
54389,,22.0,"{83:'Обувь', 175:'Женская одежда'}",3000.0,Крутые леопардовые туфли,1
58395,,29.0,{483:'Мониторы'},8499.0,Монитор HP Pavilion 22xi Silver/Black,1
59051,,38.0,{45:'Столы и стулья'},5008.0,Стул барный мягкий CH-5001 бежевый,1
59801,,60.0,"{178:'Для девочек', 179:'Шапки, варежки, шарфы'}",488.0,Панама,1
61511,,38.0,"{45:'Кровати, диваны и кресла'}",69000.0,Кресло в классическом стиле из массива,1
64751,,41.0,"{143:'Аксессуары', 480:'Чехлы и плёнки'}",30.0,"Пленка iPhone 6 4.7"" глянец",1
69326,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",2250.0,Крыло переднее Форд Фокус 2,1
70787,,60.0,"{178:'Для девочек', 179:'Трикотаж'}",578.0,2футболки с короткими рукавами,1
80896,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",3549.0,Юбка,1
80951,,38.0,"{45:'Кровати, диваны и кресла'}",21990.0,Кресло-кровать Модель 062 Милена во флоке,1
86910,,22.0,{175:'Аксессуары'},1113.0,Кепка Goorin Bros.,1
87264,,22.0,"{83:'Купальники', 175:'Женская одежда'}",1099.0,Купальник раздельный,1
90042,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",3949.0,Платье короткое,1
90746,,60.0,"{178:'Для девочек', 179:'Верхняя одежда'}",2580.0,Куртка,1
90776,,34.0,{5:'Багажники и фаркопы'},16000.0,Автобокс Thule Ocean 200 черный (антрацит),1
91015,,9.0,{51:'Товары для кухни'},890.0,Ножеточка Rondell Langsax RD-323,1
99439,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",39990.0,Холодильник с нижней морозильной камерой Bosch Gol,1
103258,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",1000.0,"Hyundai Atos, Hyundai Accent подушка рулевая airb",1
106829,,22.0,{175:'Аксессуары'},4890.0,Fendi Crocodile pink,1
108057,,11.0,{104:'Часы'},26990.0,Спортивные часы Suunto Ambit2 (HR) (черный),1
110017,,13.0,{137:'Игровые приставки'},28990.0,Игровая приставка PS4 Sony 500Gb Black (CUH-1108A),1
120586,,47.0,{127:'Велосипеды и самокаты'},3890.0,Автомобиль Stiony TwinAir 802A Black,1
123066,,60.0,"{178:'Для девочек', 179:'Обувь'}",951.0,Туфли,1
130437,,38.0,{45:'Столы и стулья'},8090.0,Стул Ницца 01.06 орех темный/бежевый в полоску,1
