earchID,SearchDate,IPID,UserID,IsUserLoggedOn,SearchQuery,LocationID,CategoryID,SearchParams
43,2015-04-27 10:27:41.0,1949510,3488339,0,nikon,3960,44,{223:'Объективы'}
72,2015-05-07 12:12:44.0,8578,1702365,0,двухярусная кровать,3960,38,"{45:'Кровати, диваны и кресла'}"
89,2015-05-07 21:05:45.0,1755954,1369931,1,кеды,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
96,2015-05-19 23:05:10.0,19762,952196,0,туфли,3960,60,"{125:'36', 179:'Обувь', 178:'Для девочек'}"
116,2015-05-12 22:14:36.0,2150731,357139,0,casio,2840,11,{104:'Часы'}
186,2015-05-03 22:34:02.0,1637376,3961003,1,уаз,4111,34,"{5:'Шины, диски и колёса'}"
198,2015-05-07 10:46:21.0,951832,372668,1,chevrolet cruze,3960,34,"{598:'Для автомобилей', 5:'Запчасти'}"
221,2015-05-01 21:09:42.0,1572318,2422704,0,юбка,3976,22,{175:'Женская одежда'}
239,2015-05-02 22:26:17.0,1208228,412926,0,золото,3960,11,{104:'Ювелирные изделия'}
253,2015-04-30 19:07:37.0,940790,2106625,0,мотокультиватор,1270,50,{44:'Садовая техника'}
257,2015-05-14 12:17:00.0,1146101,1333644,0,бежевое платье,3953,22,"{83:'Платья и юбки', 175:'Женская одежда'}"
292,2015-05-15 11:48:37.0,1756485,1694062,1,iphone 6 plus,346,41,{143:'iPhone'}
344,2015-05-12 16:31:39.0,1942445,2063506,1,подставка для цветов,3953,38,{45:'Подставки и тумбы'}
388,2015-05-05 12:18:44.0,178519,384510,0,ваз,3960,34,"{5:'Шины, диски и колёса'}"
402,2015-05-04 22:01:36.0,1935919,3377114,0,ford,2885,34,"{797:'18', 5:'Шины, диски и колёса', 709:'Диски'}"
484,2015-04-25 12:39:48.0,1452519,1682983,0,reima,3960,60,"{112:'134-140 см (8-10 лет)', 179:'Верхняя одежда', 178:'Для девочек'}"
506,2015-04-25 10:31:21.0,1898355,948929,0,на ваз,4429,34,"{5:'Шины, диски и колёса'}"
523,2015-05-06 19:53:36.0,2086671,4196002,0,люстры,3960,38,{45:'Освещение'}
532,2015-05-20 04:41:07.0,136588,490618,0,телевизоры,3960,26,{132:'Телевизоры и проекторы'}
556,2015-05-04 23:17:21.0,1425736,1910239,0,сумка,3953,22,{175:'Аксессуары'}
565,2015-04-29 14:44:35.0,594313,4079853,0,мерседес,2840,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Двигатель'}"
609,2015-04-29 15:45:13.0,1335020,3449130,0,аккумулятор,3282,50,{44:'Инструменты'}
622,2015-05-04 20:53:14.0,1613996,3936913,0,ps3,3022,13,{137:'Игры для приставок'}
658,2015-04-30 21:42:13.0,415673,70934,1,платье,3960,22,"{83:'Платья и юбки', 175:'Женская одежда', 90:'46–48 (L)'}"
667,2015-05-15 13:11:09.0,2234624,3566683,0,ветровка,3771,60,"{119:'110-116 см (4-6 лет)', 110:'Верхняя одежда', 178:'Для мальчиков'}"
691,2015-05-08 21:42:56.0,1122425,1763528,1,кардиган,3960,22,{175:'Женская одежда'}
726,2015-05-13 11:34:24.0,936157,3063273,1,мокасины,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
733,2015-05-13 07:42:28.0,603661,405180,1,натуральная кожа,1344,22,{175:'Аксессуары'}
783,2015-05-04 19:22:15.0,1692468,1110783,1,босоножки,2885,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
